,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-24,Heavy rain and humid throughout the day.,rain,1600906800,1600950240,0.27,3.477,6.7534,1600903500,0.98,rain,23.04,1600932960,20.16,1600994760,24.14,1600932840,21.3,1600994580,21.6,1.0,1005.4,1.94,5.57,1600894320,43,1.0,5,1600928580,8.666,252.6,20.24,1600915380,23.04,1600932960,21.81,1600897080,24.14,1600932840
1,2020-09-25,Humid and mostly cloudy throughout the day.,rain,1600993200,1601036580,0.3,0.2176,0.6023,1601002860,0.43,rain,28.13,1601024520,20.2,1601077080,33.77,1601026920,21.18,1601076840,22.96,0.98,1004.4,1.18,2.2,1601023740,6,0.72,7,1601016780,16.093,258.3,20.16,1600994760,28.13,1601024520,21.3,1600994580,33.77,1601026920
2,2020-09-26,Humid and partly cloudy throughout the day.,partly-cloudy-day,1601079600,1601122920,0.34,0.1432,0.4418,1601143140,0.23,rain,30.98,1601106540,21.33,1601163960,38.56,1601107920,22.49,1601163900,23.35,0.92,1004.2,1.14,2.04,1601142900,80,0.24,8,1601101920,16.093,262.7,20.2,1601077080,30.98,1601106540,21.18,1601076840,38.56,1601107920
3,2020-09-27,Humid throughout the day.,clear-day,1601166060,1601209260,0.37,0.072,0.4392,1601144100,0.23,rain,31.23,1601195400,21.77,1601250420,35.85,1601193900,22.6,1601250420,22.81,0.87,1006.3,1.19,2.45,1601196000,93,0.1,10,1601186640,16.093,261.5,21.33,1601163960,31.23,1601195400,22.49,1601163900,35.85,1601193900
4,2020-09-28,Humid and partly cloudy throughout the day.,partly-cloudy-day,1601252460,1601295600,0.4,0.0674,0.2735,1601305920,0.16,rain,31.59,1601280300,21.97,1601337000,37.5,1601280420,23.13,1601337000,22.8,0.84,1007.2,1.44,2.13,1601282640,130,0.3,8,1601272860,16.093,257.7,21.77,1601250420,31.59,1601280300,22.6,1601250420,37.5,1601280420
5,2020-09-29,Humid throughout the day.,clear-day,1601338920,1601381880,0.43,0.039,0.113,1601316900,0.15,rain,31.45,1601368560,22.17,1601423100,37.02,1601367900,23.17,1601423100,23.24,0.86,1006.6,1.32,2.63,1601369400,13,0.2,9,1601359140,16.093,253.0,21.97,1601337000,31.45,1601368560,23.13,1601337000,37.02,1601367900
6,2020-09-30,Humid and partly cloudy throughout the day.,partly-cloudy-day,1601425320,1601468220,0.46,0.0083,0.0406,1601403300,0.04,rain,32.5,1601453340,23.05,1601509560,37.03,1601452500,24.03,1601509560,22.21,0.77,1004.9,1.31,2.11,1601455200,278,0.36,8,1601446440,16.093,252.6,22.17,1601423100,32.5,1601453340,23.17,1601423100,37.03,1601452500
7,2020-10-01,Humid throughout the day.,clear-day,1601511780,1601554560,0.49,0.0527,0.3134,1601553420,0.12,rain,32.39,1601539140,22.66,1601595960,37.14,1601538660,23.59,1601595960,22.58,0.79,1004.4,1.43,2.27,1601523420,68,0.2,10,1601532600,16.093,250.1,23.05,1601509560,32.39,1601539140,24.03,1601509560,37.14,1601538660
