,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,achham,sugali,29.17980694,81.37293889,2020-09-05,Humid throughout the day.,clear-day,1599264960,1599310380,0.6,0.161,0.4926,1599301560,0.31,rain,27.4,1599293040,16.42,1599349800,28.85,1599294300,16.7,1599349920,18.11,0.85,1008.5,1.13,2.11,1599291180,41,0.28,11,1599285840,16.093,264.8,15.61,1599262860,27.4,1599293040,15.88,1599262860,28.85,1599294300
1,arghakhanchi,sandhikharka,27.96402222,83.12056944,2020-09-05,Humid throughout the day.,rain,1599264600,1599309960,0.6,0.4408,1.4621,1599243300,0.5,rain,27.1,1599290040,18.5,1599349380,31.04,1599291960,19.25,1599349380,21.61,0.94,1007.2,1.06,2.12,1599289320,355,0.17,11,1599286320,15.942,267.6,18.3,1599262080,27.1,1599290040,18.91,1599262260,31.04,1599291960
2,achham,mangalsen,29.13611389,81.25009167,2020-09-05,Humid throughout the day.,clear-day,1599264960,1599310440,0.6,0.2226,0.5954,1599301980,0.34,rain,29.6,1599291000,17.99,1599350100,31.91,1599293880,18.46,1599350220,19.65,0.82,1008.2,1.0,2.1,1599296100,176,0.2,11,1599286020,16.093,265.9,17.78,1599263640,29.6,1599291000,18.05,1599263640,31.91,1599293880
3,argakhachi,sidhara,27.7945,82.82838333,2020-09-05,Humid throughout the day.,rain,1599264660,1599310020,0.6,0.3003,1.0207,1599298200,0.54,rain,32.57,1599290460,22.53,1599348420,42.68,1599299460,23.65,1599348240,24.93,0.87,1005.8,1.45,2.4,1599288360,8,0.11,11,1599286680,15.617,269.3,22.28,1599262500,32.57,1599290460,23.33,1599262440,42.68,1599299460
