district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Mangalsen,29.13611389,81.25009167,2020-09-08 00:00:00,Humid and partly cloudy throughout the day.,partly-cloudy-day,2020-09-08 06:03:00,2020-09-08 18:35:00,0.7,0.1683,0.6157,2020-09-08 16:48:00,0.29,rain,28.77,2020-09-08 12:47:00,18.3,2020-09-09 05:40:00,31.67,2020-09-08 13:13:00,18.94,2020-09-09 05:42:00,21.38,0.92,1009.1,0.97,2.15,1599552660,166,0.33,10,1599545700,16.093,265.4,18.16,2020-09-08 05:33:00,28.77,2020-09-08 12:47:00,18.91,2020-09-08 05:34:00,31.67,2020-09-08 13:13:00
Achham,Sugali,29.17980694,81.37293889,2020-09-08 00:00:00,Humid and partly cloudy throughout the day.,partly-cloudy-day,2020-09-08 06:02:00,2020-09-08 18:35:00,0.7,0.1371,0.5265,2020-09-08 16:19:00,0.26,rain,26.73,2020-09-08 13:09:00,16.57,2020-09-09 05:37:00,28.65,2020-09-08 13:19:00,17.05,2020-09-09 05:38:00,20.06,0.96,1009.3,1.1,2.39,1599547800,145,0.43,9,1599545520,15.982,264.3,16.0,2020-09-08 05:24:00,26.73,2020-09-08 13:09:00,16.7,2020-09-08 05:25:00,28.65,2020-09-08 13:19:00
Argakhachi,Sidhara,27.7945,82.82838333,2020-09-08 00:00:00,Humid and overcast throughout the day.,rain,2020-09-08 05:57:00,2020-09-08 18:28:00,0.7,0.3798,1.5018,2020-09-08 11:20:00,0.39,rain,28.86,2020-09-08 13:56:00,22.96,2020-09-09 05:30:00,33.78,2020-09-08 13:59:00,24.05,2020-09-09 05:29:00,24.01,0.92,1007.2,1.24,3.3,1599555480,49,0.98,5,1599546480,15.563,269.4,22.6,2020-09-08 04:42:00,28.86,2020-09-08 13:56:00,23.77,2020-09-08 04:40:00,33.78,2020-09-08 13:59:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-08 00:00:00,Humid and overcast throughout the day.,cloudy,2020-09-08 05:56:00,2020-09-08 18:27:00,0.7,0.2568,0.7057,2020-09-08 11:50:00,0.34,rain,27.04,2020-09-08 12:44:00,19.45,2020-09-09 05:41:00,28.85,2020-09-08 12:50:00,20.09,2020-09-09 05:41:00,21.01,0.93,1008.2,1.02,2.19,1599554940,44,0.92,5,1599548160,16.087,267.5,18.98,2020-09-08 06:23:00,27.04,2020-09-08 12:44:00,19.74,2020-09-08 06:23:00,28.85,2020-09-08 12:50:00
