district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Mangalsen,29.13611389,81.25009167,2020-09-24 00:00:00,Possible light rain in the morning.,rain,2020-09-24 06:11:00,2020-09-24 18:16:00,0.27,0.2563,0.8885,2020-09-24 04:59:00,0.57,rain,21.21,2020-09-24 18:07:00,16.19,2020-09-25 05:30:00,22.51,2020-09-24 17:44:00,16.97,2020-09-25 05:29:00,19.08,1.0,1007.2,0.82,1.77,1600927860,63,0.87,6,1600928460,15.937,254.5,17.5,2020-09-24 04:39:00,21.21,2020-09-24 18:07:00,18.92,2020-09-24 04:36:00,22.51,2020-09-24 17:44:00
Achham,Sugali,29.17980694,81.37293889,2020-09-24 00:00:00,Rain in the morning.,rain,2020-09-24 06:10:00,2020-09-24 18:15:00,0.27,0.3798,1.3815,2020-09-24 05:50:00,0.57,rain,18.77,2020-09-24 18:39:00,14.77,2020-09-25 05:28:00,20.55,2020-09-24 18:32:00,15.82,2020-09-25 05:24:00,17.01,1.0,1007.6,0.97,2.03,1600906080,54,0.91,6,1600928640,16.093,253.2,15.59,2020-09-24 04:44:00,18.77,2020-09-24 18:39:00,17.23,2020-09-24 04:44:00,20.55,2020-09-24 18:32:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-24 00:00:00,Heavy rain throughout the day.,rain,2020-09-24 06:03:00,2020-09-24 18:08:00,0.27,3.701,7.0719,2020-09-24 11:21:00,0.94,rain,19.33,2020-09-24 12:59:00,16.56,2020-09-25 06:05:00,20.63,2020-09-24 13:00:00,17.63,2020-09-25 05:57:00,18.07,1.0,1006.8,1.69,3.52,1600905300,39,1.0,6,1600928520,8.003,250.8,17.04,2020-09-24 08:32:00,19.33,2020-09-24 12:59:00,18.23,2020-09-25 00:00:00,20.63,2020-09-24 13:00:00
Arghakhanchi,Sidhara,27.7945,82.82838333,2020-09-24 00:00:00,Heavy rain and humid throughout the day.,rain,2020-09-24 06:05:00,2020-09-24 18:09:00,0.27,3.477,6.7534,2020-09-24 05:10:00,0.98,rain,23.04,2020-09-24 13:25:00,20.16,2020-09-25 06:31:00,24.13,2020-09-24 13:21:00,21.3,2020-09-25 06:28:00,21.6,1.0,1005.4,1.94,5.57,1600894320,43,1.0,5,1600928580,8.666,252.6,20.24,2020-09-24 08:28:00,23.04,2020-09-24 13:25:00,21.81,2020-09-24 03:23:00,24.13,2020-09-24 13:21:00
Jhapa,Chnadra Gadhi,26.39616667,88.00375,2020-09-24 00:00:00,Rain and humid throughout the day.,rain,2020-09-24 05:44:00,2020-09-24 17:49:00,0.27,0.5601,1.4043,2020-09-24 14:46:00,0.95,rain,26.99,2020-09-24 13:45:00,22.29,2020-09-25 05:48:00,32.43,2020-09-24 13:45:00,23.67,2020-09-25 05:43:00,24.66,0.98,1006.6,3.19,7.24,1600913640,77,0.99,5,1600927140,14.882,254.7,22.94,2020-09-24 04:29:00,26.99,2020-09-24 13:45:00,24.19,2020-09-24 04:27:00,32.43,2020-09-24 13:45:00
Jhapa,Gaida (Kankai),26.68972222,87.98861111,2020-09-24 00:00:00,Rain and humid throughout the day.,rain,2020-09-24 05:44:00,2020-09-24 17:49:00,0.27,0.6674,1.3561,2020-09-24 23:40:00,0.95,rain,28.49,2020-09-24 14:23:00,23.05,2020-09-25 06:16:00,39.97,2020-09-24 15:19:00,24.75,2020-09-25 06:02:00,25.35,1.0,1007.3,1.66,3.54,1600912680,84,0.97,5,1600927200,13.045,254.4,22.86,2020-09-24 04:25:00,28.49,2020-09-24 14:23:00,24.26,2020-09-24 04:20:00,39.97,2020-09-24 15:19:00
