district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Mangalsen,29.13611389,81.25009167,2020-09-23 00:00:00,Possible light rain in the evening.,rain,2020-09-23 06:10:00,2020-09-23 18:17:00,0.23,0.4936,2.8705,2020-09-23 00:00:00,0.72,rain,25.02,2020-09-23 11:51:00,16.87,2020-09-24 05:55:00,25.81,2020-09-23 11:59:00,18.26,2020-09-24 05:50:00,20.68,1,1006.6,0.87,1.9,1600846020,60,0.72,7,1600840680,15.175,256.9,18.33,2020-09-23 05:44:00,25.02,2020-09-23 11:51:00,19.66,2020-09-23 05:45:00,25.81,2020-09-23 11:59:00
Achham,Sugali,29.17980694,81.37293889,2020-09-23 00:00:00,Mostly cloudy throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.4376,1.4556,2020-09-23 00:00:00,0.65,rain,21.32,2020-09-23 11:48:00,15.15,2020-09-24 05:52:00,22.69,2020-09-23 12:27:00,16.8,2020-09-24 05:44:00,18.51,1,1007.0,0.99,1.93,1600843740,61,0.79,7,1600840740,15.002,255.5,16.51,2020-09-23 05:33:00,21.32,2020-09-23 11:48:00,17.85,2020-09-23 05:37:00,22.69,2020-09-23 12:27:00
Argakhachi,Sidhara,27.7945,82.82838333,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:04:00,2020-09-23 18:10:00,0.23,0.5833,1.8291,2020-09-23 00:00:00,0.92,rain,23.3,2020-09-23 16:39:00,20.7,2020-09-24 06:48:00,24.61,2020-09-23 16:34:00,22.07,2020-09-24 02:41:00,22.14,1,1004.8,1.85,5.43,1600814700,55,0.99,5,1600841640,15.782,256.1,21.14,2020-09-23 02:52:00,23.3,2020-09-23 16:39:00,22.3,2020-09-23 02:53:00,24.61,2020-09-23 16:34:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-23 00:00:00,Rain throughout the day.,rain,2020-09-23 06:03:00,2020-09-23 18:09:00,0.23,0.9913,1.6829,2020-09-23 00:00:00,0.89,rain,19.76,2020-09-23 16:45:00,17.32,2020-09-24 01:29:00,21.16,2020-09-23 13:46:00,18.33,2020-09-24 01:27:00,18.64,1,1006.1,1.43,2.29,1600851900,42,0.98,6,1600841220,14.372,254.6,17.43,2020-09-24 00:00:00,19.76,2020-09-23 16:45:00,18.45,2020-09-24 00:00:00,21.16,2020-09-23 13:46:00
