district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Achham,Mangalsen,29.13611389,81.25009167,2020-09-07 00:00:00,Humid throughout the day.,clear-day,2020-09-07 06:02:00,2020-09-07 18:36:00,0.67,0.1632,0.3079,1599474960,0.35,rain,28.61,2020-09-07 13:20:00,18.45,2020-09-08 05:42:00,32.16,2020-09-07 13:41:00,19.29,2020-09-08 05:42:00,21.39,0.93,1008.0,1.02,1.9,1599468540,146,0.13,11,1599459780,16.093,263.1,17.68,2020-09-07 05:46:00,28.61,2020-09-07 13:20:00,18.39,2020-09-07 05:46:00,32.16,2020-09-07 13:41:00
Achham,Sugali,29.17980694,81.37293889,2020-09-07 00:00:00,Humid throughout the day.,clear-day,2020-09-07 06:02:00,2020-09-07 18:36:00,0.67,0.1416,0.3032,1599475020,0.33,rain,26.79,2020-09-07 13:35:00,16.44,2020-09-08 05:38:00,28.81,2020-09-07 13:39:00,17.12,2020-09-08 05:38:00,19.97,0.95,1008.4,1.21,2.25,1599435120,101,0.2,11,1599459300,16.093,261.8,15.83,2020-09-07 05:45:00,26.79,2020-09-07 13:35:00,16.46,2020-09-07 05:44:00,28.81,2020-09-07 13:39:00
Argakhachi,Sidhara,27.7945,82.82838333,2020-09-07 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-09-07 05:57:00,2020-09-07 18:29:00,0.67,0.5106,2.4466,1599423300,0.5,rain,31.53,2020-09-07 13:14:00,23.08,2020-09-08 05:11:00,38.18,2020-09-07 13:53:00,24.2,2020-09-08 05:04:00,24.18,0.89,1006.0,1.32,2.69,1599468180,84,0.4,11,1599458400,16.093,265.4,22.51,2020-09-07 04:35:00,31.53,2020-09-07 13:14:00,23.62,2020-09-07 04:34:00,38.18,2020-09-07 13:53:00
Arghakhanchi,Sandhikharka,27.96402222,83.12056944,2020-09-07 00:00:00,Humid and partly cloudy throughout the day.,rain,2020-09-07 05:56:00,2020-09-07 18:28:00,0.67,0.2395,0.7754,1599472920,0.42,rain,28.21,2020-09-07 12:44:00,19.35,2020-09-08 05:37:00,30.99,2020-09-07 12:55:00,20.02,2020-09-08 05:38:00,21.62,0.94,1007.1,1.11,2.01,1599468420,111,0.49,11,1599458340,16.093,263.9,18.79,2020-09-07 04:39:00,28.21,2020-09-07 12:44:00,19.65,2020-09-07 04:39:00,30.99,2020-09-07 12:55:00
