,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-24,Rain and humid throughout the day.,rain,1600905540,1600949040,0.27,0.6674,1.3561,1600970100,0.95,rain,28.49,1600936680,23.05,1600993860,39.97,1600940040,24.75,1600993020,25.35,1.0,1007.3,1.66,3.54,1600912680,84,0.97,5,1600927200,13.045,254.4,22.86,1600900800,28.49,1600936680,24.26,1600900500,39.97,1600940040
1,2020-09-25,Rain and humid throughout the day.,rain,1600991940,1601035380,0.3,1.5477,2.5632,1601057700,0.97,rain,26.62,1601014020,22.61,1601078220,30.55,1601014140,24.07,1601077920,24.47,1.0,1004.9,2.51,6.06,1601034900,66,0.97,6,1601013360,13.142,254.7,23.05,1600993860,26.62,1601014020,24.75,1600993020,30.55,1601014140
2,2020-09-26,Rain and humid throughout the day.,rain,1601078400,1601121660,0.34,0.772,2.7802,1601063880,0.92,rain,29.3,1601109780,22.24,1601164560,38.22,1601110260,23.54,1601164440,24.9,0.98,1005.0,2.66,5.91,1601121840,75,0.85,6,1601100360,15.03,258.5,22.61,1601078220,29.3,1601109780,24.07,1601077920,38.22,1601110260
3,2020-09-27,Rain overnight and in the morning.,rain,1601164800,1601208000,0.37,0.7874,4.3361,1601154300,0.83,rain,30.46,1601194500,22.3,1601251020,40.75,1601194680,23.25,1601250960,24.91,0.96,1006.6,2.28,5.39,1601186640,82,0.67,6,1601190780,13.946,258.7,22.24,1601164560,30.46,1601194500,23.54,1601164440,40.75,1601194680
4,2020-09-28,Humid and overcast throughout the day.,cloudy,1601251260,1601294340,0.4,0.0181,0.0852,1601262480,0.29,rain,30.54,1601284320,22.73,1601336640,40.2,1601285940,23.74,1601336580,24.46,0.92,1007.5,1.88,5.66,1601266320,80,0.88,5,1601272740,15.678,255.5,22.3,1601251020,30.54,1601284320,23.25,1601250960,40.2,1601285940
5,2020-09-29,Humid and overcast throughout the day.,cloudy,1601337660,1601380680,0.43,0.0373,0.1822,1601370420,0.27,rain,32.62,1601366760,23.13,1601423280,43.65,1601367240,24.34,1601423220,24.78,0.87,1006.6,1.4,2.96,1601348520,59,0.93,5,1601362020,16.093,252.1,22.73,1601336640,32.62,1601366760,23.74,1601336580,43.65,1601367240
6,2020-09-30,Humid and overcast throughout the day.,cloudy,1601424060,1601467020,0.46,0.1002,0.3354,1601488440,0.35,rain,32.43,1601449560,23.67,1601510100,43.6,1601452680,25.04,1601509980,25.69,0.91,1005.5,1.5,2.8,1601452440,102,0.99,5,1601445540,15.564,250.4,23.13,1601423280,32.43,1601449560,24.34,1601423220,43.6,1601452680
7,2020-10-01,Humid and overcast throughout the day.,rain,1601510520,1601553360,0.49,0.1327,0.4204,1601510220,0.45,rain,31.99,1601535780,23.61,1601595960,43.44,1601536620,24.82,1601595900,26.13,0.93,1005.2,1.32,2.71,1601520960,106,0.91,5,1601532000,15.533,248.9,23.67,1601510100,31.99,1601535780,25.04,1601509980,43.44,1601536620
