,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-24,Rain and humid throughout the day.,rain,1600905540,1600949040,0.27,0.5601,1.4043,1600938060,0.95,rain,26.99,1600934400,22.29,1600992180,32.43,1600934400,23.67,1600991880,24.66,0.98,1006.6,3.19,7.24,1600913640,77,0.99,5,1600927140,14.882,254.7,22.94,1600901040,26.99,1600934400,24.19,1600900920,32.43,1600934400
1,2020-09-25,Rain and humid throughout the day.,rain,1600991940,1601035320,0.3,1.7734,3.683,1601035080,0.98,rain,25.66,1601013780,22.57,1601077680,26.56,1601016720,23.88,1601077560,23.68,0.98,1004.1,5.0,10.12,1601035740,68,0.97,6,1601013360,13.273,255.3,22.29,1600992180,25.66,1601013780,23.67,1600991880,26.56,1601016720
2,2020-09-26,Rain and humid throughout the day.,rain,1601078400,1601121660,0.34,0.7501,2.7981,1601061900,0.96,rain,27.37,1601109180,22.11,1601163660,31.67,1601108460,23.3,1601163600,23.86,0.95,1004.3,4.79,10.91,1601132940,77,0.79,7,1601098800,13.84,259.4,22.57,1601077680,27.37,1601109180,23.88,1601077560,31.67,1601108460
3,2020-09-27,Rain overnight and in the morning.,rain,1601164800,1601208000,0.37,0.5211,2.9695,1601153280,0.9,rain,28.65,1601191140,22.11,1601251560,34.81,1601190060,23.15,1601251380,23.64,0.93,1006.0,4.24,9.41,1601144100,77,0.85,5,1601187720,14.932,259.4,22.11,1601163660,28.65,1601191140,23.3,1601163600,34.81,1601190060
4,2020-09-28,Possible light rain in the morning.,rain,1601251200,1601294340,0.4,0.1201,0.5273,1601262120,0.63,rain,28.58,1601279700,22.19,1601336400,34.35,1601278380,23.12,1601336460,23.64,0.91,1007.0,3.42,9.03,1601261580,78,0.95,5,1601272800,15.731,256.0,22.11,1601251560,28.58,1601279700,23.15,1601251380,34.35,1601278380
5,2020-09-29,Humid and overcast throughout the day.,cloudy,1601337660,1601380680,0.43,0.0142,0.0707,1601369400,0.28,rain,31.56,1601366940,22.78,1601422800,38.45,1601365080,23.82,1601422800,23.28,0.82,1005.9,1.93,5.77,1601348280,70,0.94,5,1601359140,16.093,252.7,22.19,1601336400,31.56,1601366940,23.12,1601336460,38.45,1601365080
6,2020-09-30,Humid and overcast throughout the day.,cloudy,1601424060,1601467020,0.46,0.0185,0.0648,1601481720,0.23,rain,31.99,1601452620,23.41,1601509080,38.97,1601452800,24.66,1601508960,23.61,0.82,1004.9,1.98,4.4,1601439900,94,0.98,5,1601445540,16.093,251.2,22.78,1601422800,31.99,1601452620,23.82,1601422800,38.97,1601452800
7,2020-10-01,Humid and overcast throughout the day.,cloudy,1601510520,1601553360,0.49,0.0331,0.2121,1601510280,0.36,rain,31.64,1601539560,23.6,1601595060,38.42,1601537820,24.8,1601594880,23.94,0.83,1004.5,1.57,4.57,1601521080,96,0.94,5,1601531940,16.093,249.8,23.41,1601509080,31.64,1601539560,24.66,1601508960,38.42,1601537820
