,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-24,Possible light rain in the morning.,rain,1600907160,1600950660,0.27,0.2563,0.8885,1600902840,0.57,rain,21.21,1600950120,16.19,1600991100,22.51,1600948740,16.97,1600991040,19.08,1.0,1007.2,0.82,1.77,1600927860,63,0.87,6,1600928460,15.937,254.5,17.5,1600901640,21.21,1600950120,18.92,1600901460,22.51,1600948740
1,2020-09-25,Humid throughout the day.,clear-day,1600993560,1601036940,0.3,0.039,0.1442,1601045400,0.11,rain,28.13,1601020680,16.51,1601078160,31.35,1601020920,17.22,1601078220,20.46,0.96,1005.7,1.02,1.79,1601017320,158,0.25,10,1601013900,16.093,256.3,16.19,1600991100,28.13,1601020680,16.97,1600991040,31.35,1601020920
2,2020-09-26,Humid throughout the day.,clear-day,1601080020,1601123280,0.34,0.0607,0.2741,1601135580,0.13,rain,28.67,1601107560,16.14,1601164500,30.63,1601107800,16.64,1601164620,19.82,0.91,1005.9,1.11,2.29,1601144100,123,0.03,10,1601101560,16.093,259.7,16.51,1601078160,28.67,1601107560,17.22,1601078220,30.63,1601107800
3,2020-09-27,Humid throughout the day.,clear-day,1601166420,1601209620,0.37,0.0283,0.1702,1601144100,0.11,rain,28.6,1601193780,15.91,1601250360,29.29,1601194320,16.18,1601250360,18.27,0.85,1008.3,1.2,2.55,1601161380,17,0.06,10,1601187300,16.093,261.2,16.14,1601164500,28.6,1601193780,16.64,1601164620,29.29,1601194320
4,2020-09-28,Humid throughout the day.,clear-day,1601252880,1601295960,0.4,0.004,0.0207,1601303880,0.02,rain,29.14,1601280060,16.38,1601336940,29.46,1601280600,16.65,1601336940,16.71,0.76,1009.0,1.18,2.46,1601247360,86,0.0,10,1601274360,16.093,259.2,15.91,1601250360,29.14,1601280060,16.18,1601250360,29.46,1601280600
5,2020-09-29,Humid throughout the day.,clear-day,1601339280,1601382240,0.43,0.0034,0.0074,1601357100,0.01,rain,29.43,1601366340,16.97,1601423340,29.15,1601366400,17.24,1601423340,16.13,0.72,1008.4,1.17,2.3,1601333580,64,0.0,10,1601360700,16.093,255.0,16.38,1601336940,29.43,1601366340,16.65,1601336940,29.15,1601366400
6,2020-09-30,Humid throughout the day.,clear-day,1601425740,1601468580,0.46,0.0007,0.0041,1601456400,0.01,rain,29.63,1601452560,17.4,1601509800,29.35,1601452620,17.67,1601509800,15.7,0.69,1006.8,1.16,2.16,1601421360,69,0.02,10,1601446980,16.093,252.5,16.97,1601423340,29.63,1601452560,17.24,1601423340,29.35,1601452620
7,2020-10-01,Humid throughout the day.,clear-day,1601512140,1601554920,0.49,0.0025,0.0149,1601564700,0.03,rain,29.57,1601538780,17.52,1601596380,29.35,1601539800,17.79,1601596380,16.48,0.71,1006.4,1.14,2.05,1601492640,84,0.03,10,1601533140,16.093,250.4,17.4,1601509800,29.57,1601538780,17.67,1601509800,29.35,1601539800
