,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
0,2020-09-23,Possible light rain in the evening.,rain,1600820700,1600864320,0.23,0.4936,2.8705,1600798500,0.72,rain,25.02,1600841160,16.87,1600906200,25.81,1600841640,18.26,1600905900,20.68,1.0,1006.6,0.87,1.9,1600846020,60,0.72,7,1600840680,15.175,256.9,18.33,1600819140,25.02,1600841160,19.66,1600819200,25.81,1600841640
1,2020-09-24,Possible light rain in the morning.,rain,1600907160,1600950660,0.27,0.2938,0.6269,1600942620,0.58,rain,24.48,1600933020,16.85,1600992000,25.86,1600933620,17.91,1600992000,20.1,1.0,1008.3,0.77,2.29,1600933980,25,0.31,10,1600928160,15.918,256.6,16.87,1600906200,24.48,1600933020,18.26,1600905900,25.86,1600933620
2,2020-09-25,Humid throughout the day.,clear-day,1600993560,1601036940,0.3,0.0677,0.2763,1601047560,0.14,rain,28.04,1601019660,16.84,1601078400,31.59,1601019720,17.56,1601078580,20.92,0.97,1006.3,0.98,1.86,1600990860,147,0.31,10,1601014080,16.003,258.3,16.85,1600992000,28.04,1601019660,17.91,1600992000,31.59,1601019720
3,2020-09-26,Humid throughout the day.,clear-day,1601080020,1601123280,0.34,0.0839,0.2267,1601062140,0.18,rain,26.62,1601107020,16.92,1601165100,28.05,1601107320,17.53,1601165220,19.9,0.93,1006.2,1.05,1.92,1601067600,124,0.06,10,1601101260,16.093,260.0,16.84,1601078400,26.62,1601107020,17.56,1601078580,28.05,1601107320
4,2020-09-27,Humid and partly cloudy throughout the day.,partly-cloudy-day,1601166420,1601209620,0.37,0.0851,0.3163,1601153640,0.14,rain,28.75,1601193420,16.29,1601250900,29.48,1601193780,16.56,1601250900,18.65,0.86,1008.1,1.08,2.21,1601230500,22,0.22,8,1601189940,16.093,262.3,16.92,1601165100,28.75,1601193420,17.53,1601165220,29.48,1601193780
5,2020-09-28,Humid throughout the day.,clear-day,1601252880,1601295960,0.4,0.0072,0.0364,1601294400,0.04,rain,29.4,1601279700,16.46,1601337240,29.41,1601280120,16.73,1601337240,17.08,0.77,1009.3,1.17,2.42,1601247360,59,0.0,10,1601274360,16.093,257.5,16.29,1601250900,29.4,1601279700,16.56,1601250900,29.41,1601280120
6,2020-09-29,Humid throughout the day.,clear-day,1601339280,1601382240,0.43,0.0032,0.0144,1601391480,0.02,rain,29.77,1601366160,16.99,1601423640,29.49,1601366340,17.26,1601423640,16.03,0.71,1008.2,1.17,2.44,1601334960,44,0.0,10,1601360700,16.093,252.2,16.46,1601337240,29.77,1601366160,16.73,1601337240,29.49,1601366340
7,2020-09-30,Humid throughout the day.,clear-day,1601425740,1601468580,0.46,0.0972,0.4138,1601468520,0.09,rain,29.2,1601451000,17.08,1601510340,29.08,1601452500,17.52,1601510340,16.09,0.72,1007.1,1.2,2.34,1601409660,62,0.11,10,1601446140,16.093,253.6,16.99,1601423640,29.2,1601451000,17.26,1601423640,29.08,1601452500
